nomination_id,facility_id,production_date,product,nominated_volume,customer_group,contract_type,status,effective_start_date,effective_end_date
NOM-00000053,FAC-001,2026-05-23,GAS,59828.272,Affiliate,Water Services,ACTIVE,2026-05-23,2026-05-23
NOM-00000054,FAC-001,2026-05-24,CRUDE,63040.453,Affiliate,Water Services,ACTIVE,2026-05-24,2026-05-24
NOM-00000055,FAC-001,2026-05-25,GAS,65373.037,Third-Party,Processing,ACTIVE,2026-05-25,2026-05-25
NOM-00000056,FAC-001,2026-05-26,GAS,71825.301,Internal Forecast,Interruptible,ACTIVE,2026-05-26,2026-05-26
NOM-00000057,FAC-001,2026-05-27,PRODUCED_WATER,70184.478,Commercial,Water Services,ACTIVE,2026-05-27,2026-05-27
NOM-00000058,FAC-001,2026-05-28,GAS,61750.387,Operations,Water Services,ACTIVE,2026-05-28,2026-05-28
NOM-00000059,FAC-001,2026-05-29,GAS,59350.35,Internal Forecast,Water Services,ACTIVE,2026-05-29,2026-05-29
NOM-00000060,FAC-001,2026-05-30,GAS,66657.668,Commercial,Water Services,ACTIVE,2026-05-30,2026-05-30
NOM-00000061,FAC-002,2026-04-01,GAS,81282.459,Commercial,Firm,ACTIVE,2026-04-01,2026-04-01
NOM-00000062,FAC-002,2026-04-02,GAS,75304.28,Internal Forecast,Firm,ACTIVE,2026-04-02,2026-04-02
NOM-00000063,FAC-002,2026-04-03,PRODUCED_WATER,75406.389,Third-Party,Processing,ACTIVE,2026-04-03,2026-04-03
NOM-00000064,FAC-002,2026-04-04,PRODUCED_WATER,64120.424,Third-Party,Interruptible,PENDING,2026-04-04,2026-04-04
NOM-00000065,FAC-002,2026-04-05,GAS,67057.347,Commercial,Water Services,ACTIVE,2026-04-05,2026-04-05
NOM-00000066,FAC-002,2026-04-06,GAS,68633.173,Third-Party,Gathering,ACTIVE,2026-04-06,2026-04-06
NOM-00000067,FAC-002,2026-04-07,GAS,73763.871,Operations,Processing,ACTIVE,2026-04-07,2026-04-07
NOM-00000068,FAC-002,2026-04-08,GAS,80671.376,Operations,Processing,ACTIVE,2026-04-08,2026-04-08
NOM-00000069,FAC-002,2026-04-09,PRODUCED_WATER,68623.881,Affiliate,Processing,ACTIVE,2026-04-09,2026-04-09
NOM-00000070,FAC-002,2026-04-10,GAS,80691.146,Affiliate,Interruptible,ACTIVE,2026-04-10,2026-04-10
NOM-00000071,FAC-002,2026-04-11,NGL,76938.594,Commercial,Interruptible,REVISED,2026-04-11,2026-04-11
NOM-00000072,FAC-002,2026-04-12,GAS,75329.665,Operations,Gathering,PENDING,2026-04-12,2026-04-12
NOM-00000073,FAC-002,2026-04-13,NGL,69289.929,Commercial,Processing,ACTIVE,2026-04-13,2026-04-13
NOM-00000074,FAC-002,2026-04-14,NGL,76180.284,Commercial,Water Services,PENDING,2026-04-14,2026-04-14
NOM-00000075,FAC-002,2026-04-15,NGL,82420.585,Commercial,Interruptible,ACTIVE,2026-04-15,2026-04-15
NOM-00000076,FAC-002,2026-04-16,PRODUCED_WATER,78579.235,Internal Forecast,Water Services,ACTIVE,2026-04-16,2026-04-16
NOM-00000077,FAC-002,2026-04-17,GAS,76815.042,Operations,Processing,ACTIVE,2026-04-17,2026-04-17
NOM-00000078,FAC-002,2026-04-18,GAS,84744.731,Commercial,Processing,ACTIVE,2026-04-18,2026-04-18
NOM-00000079,FAC-002,2026-04-19,GAS,80117.56,Operations,Interruptible,ACTIVE,2026-04-19,2026-04-19
NOM-00000080,FAC-002,2026-04-20,GAS,65457.802,Commercial,Gathering,ACTIVE,2026-04-20,2026-04-20
NOM-00000081,FAC-002,2026-04-21,CRUDE,66683.032,Affiliate,Water Services,PENDING,2026-04-21,2026-04-21
NOM-00000082,FAC-002,2026-04-22,NGL,75193.805,Commercial,Processing,ACTIVE,2026-04-22,2026-04-22
NOM-00000083,FAC-002,2026-04-23,GAS,84817.245,Operations,Gathering,ACTIVE,2026-04-23,2026-04-23
NOM-00000084,FAC-002,2026-04-24,GAS,70108.976,Internal Forecast,Interruptible,ACTIVE,2026-04-24,2026-04-24
NOM-00000085,FAC-002,2026-04-25,CRUDE,64684.643,Affiliate,Water Services,ACTIVE,2026-04-25,2026-04-25
NOM-00000086,FAC-002,2026-04-26,GAS,74024.956,Internal Forecast,Interruptible,ACTIVE,2026-04-26,2026-04-26
NOM-00000087,FAC-002,2026-04-27,GAS,73429.303,Third-Party,Interruptible,ACTIVE,2026-04-27,2026-04-27
NOM-00000088,FAC-002,2026-04-28,GAS,73602.913,Operations,Processing,ACTIVE,2026-04-28,2026-04-28
NOM-00000089,FAC-002,2026-04-29,GAS,70274.978,Affiliate,Firm,ACTIVE,2026-04-29,2026-04-29
NOM-00000090,FAC-002,2026-04-30,GAS,84336.734,Third-Party,Interruptible,ACTIVE,2026-04-30,2026-04-30
NOM-00000091,FAC-002,2026-05-01,NGL,75844.713,Affiliate,Processing,ACTIVE,2026-05-01,2026-05-01
NOM-00000092,FAC-002,2026-05-02,GAS,75862.489,Operations,Water Services,ACTIVE,2026-05-02,2026-05-02
NOM-00000093,FAC-002,2026-05-03,GAS,84300.319,Affiliate,Water Services,ACTIVE,2026-05-03,2026-05-03
NOM-00000094,FAC-002,2026-05-04,PRODUCED_WATER,72746.707,Operations,Processing,ACTIVE,2026-05-04,2026-05-04
NOM-00000095,FAC-002,2026-05-05,PRODUCED_WATER,80256.082,Commercial,Processing,ACTIVE,2026-05-05,2026-05-05
NOM-00000096,FAC-002,2026-05-06,GAS,77116.321,Affiliate,Gathering,ACTIVE,2026-05-06,2026-05-06
NOM-00000097,FAC-002,2026-05-07,CRUDE,79205.374,Internal Forecast,Processing,ACTIVE,2026-05-07,2026-05-07
NOM-00000098,FAC-002,2026-05-08,NGL,81209.867,Affiliate,Gathering,PENDING,2026-05-08,2026-05-08
NOM-00000099,FAC-002,2026-05-09,GAS,73088.89,Affiliate,Water Services,ACTIVE,2026-05-09,2026-05-09
NOM-00000100,FAC-002,2026-05-10,GAS,70622.401,Affiliate,Interruptible,ACTIVE,2026-05-10,2026-05-10
NOM-00000101,FAC-002,2026-05-11,NGL,69006.389,Affiliate,Water Services,REVISED,2026-05-11,2026-05-11
NOM-00000102,FAC-002,2026-05-12,GAS,70320.182,Internal Forecast,Interruptible,ACTIVE,2026-05-12,2026-05-12
NOM-00000103,FAC-002,2026-05-13,GAS,77284.402,Affiliate,Processing,ACTIVE,2026-05-13,2026-05-13
NOM-00000104,FAC-002,2026-05-14,GAS,70960.78,Affiliate,Gathering,ACTIVE,2026-05-14,2026-05-14
NOM-00000105,FAC-002,2026-05-15,NGL,76828.582,Internal Forecast,Water Services,ACTIVE,2026-05-15,2026-05-15
NOM-00000106,FAC-002,2026-05-16,GAS,78425.33,Third-Party,Firm,ACTIVE,2026-05-16,2026-05-16
NOM-00000107,FAC-002,2026-05-17,CRUDE,84194.856,Affiliate,Gathering,ACTIVE,2026-05-17,2026-05-17
NOM-00000108,FAC-002,2026-05-18,GAS,64703.158,Third-Party,Firm,ACTIVE,2026-05-18,2026-05-18
NOM-00000109,FAC-002,2026-05-19,GAS,71380.89,Operations,Water Services,ACTIVE,2026-05-19,2026-05-19
NOM-00000110,FAC-002,2026-05-20,PRODUCED_WATER,71550.471,Third-Party,Interruptible,ACTIVE,2026-05-20,2026-05-20
NOM-00000111,FAC-002,2026-05-21,GAS,76411.458,Commercial,Firm,ACTIVE,2026-05-21,2026-05-21
NOM-00000112,FAC-002,2026-05-22,CRUDE,77873.058,Commercial,Firm,ACTIVE,2026-05-22,2026-05-22
NOM-00000113,FAC-002,2026-05-23,GAS,73584.821,Third-Party,Interruptible,ACTIVE,2026-05-23,2026-05-23
NOM-00000114,FAC-002,2026-05-24,CRUDE,70838.228,Commercial,Gathering,ACTIVE,2026-05-24,2026-05-24
NOM-00000115,FAC-002,2026-05-25,GAS,81669.855,Third-Party,Gathering,ACTIVE,2026-05-25,2026-05-25
NOM-00000116,FAC-002,2026-05-26,NGL,69189.286,Affiliate,Interruptible,ACTIVE,2026-05-26,2026-05-26
NOM-00000117,FAC-002,2026-05-27,GAS,70879.906,Internal Forecast,Interruptible,ACTIVE,2026-05-27,2026-05-27
NOM-00000118,FAC-002,2026-05-28,GAS,76865.492,Commercial,Water Services,ACTIVE,2026-05-28,2026-05-28
NOM-00000119,FAC-002,2026-05-29,GAS,68081.522,Affiliate,Water Services,ACTIVE,2026-05-29,2026-05-29
NOM-00000120,FAC-002,2026-05-30,NGL,75692.178,Affiliate,Firm,ACTIVE,2026-05-30,2026-05-30
NOM-00000121,FAC-003,2026-04-01,GAS,97411.232,Affiliate,Water Services,ACTIVE,2026-04-01,2026-04-01
NOM-00000122,FAC-003,2026-04-02,GAS,95844.939,Affiliate,Gathering,ACTIVE,2026-04-02,2026-04-02
NOM-00000123,FAC-003,2026-04-03,GAS,95205.964,Third-Party,Interruptible,ACTIVE,2026-04-03,2026-04-03
NOM-00000124,FAC-003,2026-04-04,GAS,87049.146,Operations,Firm,ACTIVE,2026-04-04,2026-04-04
NOM-00000125,FAC-003,2026-04-05,GAS,96037.662,Internal Forecast,Processing,ACTIVE,2026-04-05,2026-04-05
NOM-00000126,FAC-003,2026-04-06,GAS,91243.396,Internal Forecast,Gathering,ACTIVE,2026-04-06,2026-04-06
NOM-00000127,FAC-003,2026-04-07,GAS,89318.25,Third-Party,Interruptible,ACTIVE,2026-04-07,2026-04-07
NOM-00000128,FAC-003,2026-04-08,GAS,93883.731,Affiliate,Firm,ACTIVE,2026-04-08,2026-04-08
NOM-00000129,FAC-003,2026-04-09,CRUDE,115873.515,Third-Party,Interruptible,ACTIVE,2026-04-09,2026-04-09
NOM-00000130,FAC-003,2026-04-10,GAS,101546.94,Operations,Water Services,ACTIVE,2026-04-10,2026-04-10
NOM-00000131,FAC-003,2026-04-11,GAS,109182.575,Commercial,Water Services,ACTIVE,2026-04-11,2026-04-11
NOM-00000132,FAC-003,2026-04-12,GAS,107601.954,Third-Party,Processing,PENDING,2026-04-12,2026-04-12
NOM-00000133,FAC-003,2026-04-13,GAS,95139.958,Affiliate,Firm,ACTIVE,2026-04-13,2026-04-13
NOM-00000134,FAC-003,2026-04-14,PRODUCED_WATER,89647.25,Operations,Processing,ACTIVE,2026-04-14,2026-04-14
NOM-00000135,FAC-003,2026-04-15,GAS,100258.05,Commercial,Gathering,ACTIVE,2026-04-15,2026-04-15
NOM-00000136,FAC-003,2026-04-16,PRODUCED_WATER,101964.143,Commercial,Water Services,ACTIVE,2026-04-16,2026-04-16
NOM-00000137,FAC-003,2026-04-17,GAS,88824.729,Internal Forecast,Interruptible,ACTIVE,2026-04-17,2026-04-17
NOM-00000138,FAC-003,2026-04-18,GAS,130984.25,Internal Forecast,Interruptible,ACTIVE,2026-04-18,2026-04-18
NOM-00000139,FAC-003,2026-04-19,NGL,100356.018,Internal Forecast,Interruptible,ACTIVE,2026-04-19,2026-04-19
NOM-00000140,FAC-003,2026-04-20,NGL,98665.758,Operations,Processing,ACTIVE,2026-04-20,2026-04-20
NOM-00000141,FAC-003,2026-04-21,GAS,110822.428,Operations,Water Services,ACTIVE,2026-04-21,2026-04-21
NOM-00000142,FAC-003,2026-04-22,GAS,109960.553,Operations,Water Services,ACTIVE,2026-04-22,2026-04-22
NOM-00000143,FAC-003,2026-04-23,CRUDE,98580.86,Third-Party,Gathering,ACTIVE,2026-04-23,2026-04-23
NOM-00000144,FAC-003,2026-04-24,GAS,98813.982,Operations,Interruptible,ACTIVE,2026-04-24,2026-04-24
NOM-00000145,FAC-003,2026-04-25,CRUDE,101882.001,Affiliate,Water Services,ACTIVE,2026-04-25,2026-04-25
NOM-00000146,FAC-003,2026-04-26,GAS,96622.195,Commercial,Water Services,ACTIVE,2026-04-26,2026-04-26
NOM-00000147,FAC-003,2026-04-27,GAS,101440.898,Commercial,Interruptible,ACTIVE,2026-04-27,2026-04-27
NOM-00000148,FAC-003,2026-04-28,CRUDE,96305.938,Affiliate,Processing,ACTIVE,2026-04-28,2026-04-28
NOM-00000149,FAC-003,2026-04-29,NGL,90648.235,Affiliate,Water Services,ACTIVE,2026-04-29,2026-04-29
NOM-00000150,FAC-003,2026-04-30,PRODUCED_WATER,113597.075,Affiliate,Processing,ACTIVE,2026-04-30,2026-04-30
NOM-00000151,FAC-003,2026-05-01,NGL,113722.079,Third-Party,Gathering,ACTIVE,2026-05-01,2026-05-01
NOM-00000152,FAC-003,2026-05-02,GAS,92884.497,Affiliate,Firm,ACTIVE,2026-05-02,2026-05-02
NOM-00000153,FAC-003,2026-05-03,GAS,98391.455,Internal Forecast,Gathering,REVISED,2026-05-03,2026-05-03
NOM-00000154,FAC-003,2026-05-04,GAS,106989.178,Internal Forecast,Firm,ACTIVE,2026-05-04,2026-05-04
NOM-00000155,FAC-003,2026-05-05,GAS,98678.254,Internal Forecast,Processing,ACTIVE,2026-05-05,2026-05-05
NOM-00000156,FAC-003,2026-05-06,GAS,95730.795,Internal Forecast,Firm,ACTIVE,2026-05-06,2026-05-06
NOM-00000157,FAC-003,2026-05-07,NGL,121089.113,Operations,Interruptible,ACTIVE,2026-05-07,2026-05-07
NOM-00000158,FAC-003,2026-05-08,GAS,108885.427,Third-Party,Gathering,ACTIVE,2026-05-08,2026-05-08
NOM-00000159,FAC-003,2026-05-09,CRUDE,100574.233,Third-Party,Gathering,ACTIVE,2026-05-09,2026-05-09
NOM-00000160,FAC-003,2026-05-10,GAS,102391.663,Operations,Processing,ACTIVE,2026-05-10,2026-05-10
NOM-00000161,FAC-003,2026-05-11,GAS,104215.371,Commercial,Water Services,ACTIVE,2026-05-11,2026-05-11
NOM-00000162,FAC-003,2026-05-12,CRUDE,98670.27,Internal Forecast,Processing,ACTIVE,2026-05-12,2026-05-12
NOM-00000163,FAC-003,2026-05-13,NGL,101307.311,Internal Forecast,Firm,ACTIVE,2026-05-13,2026-05-13
NOM-00000164,FAC-003,2026-05-14,PRODUCED_WATER,120831.009,Internal Forecast,Interruptible,ACTIVE,2026-05-14,2026-05-14
NOM-00000165,FAC-003,2026-05-15,NGL,107912.945,Commercial,Firm,ACTIVE,2026-05-15,2026-05-15
NOM-00000166,FAC-003,2026-05-16,GAS,102445.693,Operations,Processing,ACTIVE,2026-05-16,2026-05-16
NOM-00000167,FAC-003,2026-05-17,CRUDE,104616.688,Affiliate,Gathering,ACTIVE,2026-05-17,2026-05-17
NOM-00000168,FAC-003,2026-05-18,NGL,88997.5,Operations,Water Services,ACTIVE,2026-05-18,2026-05-18
NOM-00000169,FAC-003,2026-05-19,GAS,112411.096,Internal Forecast,Firm,ACTIVE,2026-05-19,2026-05-19
NOM-00000170,FAC-003,2026-05-20,CRUDE,99779.257,Affiliate,Interruptible,ACTIVE,2026-05-20,2026-05-20
NOM-00000171,FAC-003,2026-05-21,GAS,98621.898,Commercial,Water Services,ACTIVE,2026-05-21,2026-05-21
NOM-00000172,FAC-003,2026-05-22,GAS,103180.738,Operations,Water Services,ACTIVE,2026-05-22,2026-05-22
NOM-00000173,FAC-003,2026-05-23,GAS,90560.174,Operations,Water Services,ACTIVE,2026-05-23,2026-05-23
NOM-00000174,FAC-003,2026-05-24,GAS,99100.088,Operations,Interruptible,ACTIVE,2026-05-24,2026-05-24
NOM-00000175,FAC-003,2026-05-25,GAS,99511.367,Third-Party,Interruptible,ACTIVE,2026-05-25,2026-05-25
NOM-00000176,FAC-003,2026-05-26,GAS,86983.217,Internal Forecast,Gathering,ACTIVE,2026-05-26,2026-05-26
NOM-00000177,FAC-003,2026-05-27,PRODUCED_WATER,96427.316,Affiliate,Processing,ACTIVE,2026-05-27,2026-05-27
NOM-00000178,FAC-003,2026-05-28,GAS,105719.33,Third-Party,Processing,ACTIVE,2026-05-28,2026-05-28
NOM-00000179,FAC-003,2026-05-29,NGL,123569.385,Internal Forecast,Firm,ACTIVE,2026-05-29,2026-05-29
NOM-00000180,FAC-003,2026-05-30,CRUDE,94723.492,Third-Party,Interruptible,ACTIVE,2026-05-30,2026-05-30
NOM-00000181,FAC-004,2026-04-01,NGL,67693.976,Third-Party,Water Services,ACTIVE,2026-04-01,2026-04-01
NOM-00000182,FAC-004,2026-04-02,GAS,74079.489,Third-Party,Interruptible,ACTIVE,2026-04-02,2026-04-02
NOM-00000183,FAC-004,2026-04-03,GAS,72753.705,Third-Party,Firm,ACTIVE,2026-04-03,2026-04-03
NOM-00000184,FAC-004,2026-04-04,GAS,75782.484,Internal Forecast,Gathering,ACTIVE,2026-04-04,2026-04-04
NOM-00000185,FAC-004,2026-04-05,NGL,64734.848,Affiliate,Processing,ACTIVE,2026-04-05,2026-04-05
NOM-00000186,FAC-004,2026-04-06,GAS,67948.201,Affiliate,Firm,ACTIVE,2026-04-06,2026-04-06
NOM-00000187,FAC-004,2026-04-07,GAS,68917.815,Operations,Firm,ACTIVE,2026-04-07,2026-04-07
NOM-00000188,FAC-004,2026-04-08,NGL,79377.456,Internal Forecast,Water Services,ACTIVE,2026-04-08,2026-04-08
NOM-00000189,FAC-004,2026-04-09,GAS,65551.354,Third-Party,Processing,ACTIVE,2026-04-09,2026-04-09
NOM-00000190,FAC-004,2026-04-10,GAS,65692.666,Operations,Gathering,PENDING,2026-04-10,2026-04-10
NOM-00000191,FAC-004,2026-04-11,GAS,81903.734,Third-Party,Gathering,ACTIVE,2026-04-11,2026-04-11
NOM-00000192,FAC-004,2026-04-12,GAS,64421.371,Affiliate,Water Services,ACTIVE,2026-04-12,2026-04-12
NOM-00000193,FAC-004,2026-04-13,GAS,67896.952,Third-Party,Water Services,ACTIVE,2026-04-13,2026-04-13
NOM-00000194,FAC-004,2026-04-14,NGL,70193.698,Third-Party,Gathering,ACTIVE,2026-04-14,2026-04-14
NOM-00000195,FAC-004,2026-04-15,GAS,71323.06,Affiliate,Interruptible,ACTIVE,2026-04-15,2026-04-15
NOM-00000196,FAC-004,2026-04-16,PRODUCED_WATER,84168.979,Third-Party,Water Services,ACTIVE,2026-04-16,2026-04-16
NOM-00000197,FAC-004,2026-04-17,GAS,65072.997,Operations,Interruptible,ACTIVE,2026-04-17,2026-04-17
NOM-00000198,FAC-004,2026-04-18,PRODUCED_WATER,72302.678,Internal Forecast,Gathering,ACTIVE,2026-04-18,2026-04-18
NOM-00000199,FAC-004,2026-04-19,PRODUCED_WATER,78087.334,Affiliate,Water Services,ACTIVE,2026-04-19,2026-04-19
NOM-00000200,FAC-004,2026-04-20,GAS,67022.397,Affiliate,Water Services,ACTIVE,2026-04-20,2026-04-20
NOM-00000201,FAC-004,2026-04-21,NGL,76202.711,Internal Forecast,Interruptible,ACTIVE,2026-04-21,2026-04-21
NOM-00000202,FAC-004,2026-04-22,GAS,77912.598,Internal Forecast,Gathering,ACTIVE,2026-04-22,2026-04-22
NOM-00000203,FAC-004,2026-04-23,GAS,83109.052,Internal Forecast,Water Services,ACTIVE,2026-04-23,2026-04-23
NOM-00000204,FAC-004,2026-04-24,GAS,75242.736,Commercial,Interruptible,ACTIVE,2026-04-24,2026-04-24
NOM-00000205,FAC-004,2026-04-25,GAS,74946.47,Operations,Firm,ACTIVE,2026-04-25,2026-04-25
NOM-00000206,FAC-004,2026-04-26,GAS,67917.223,Internal Forecast,Firm,ACTIVE,2026-04-26,2026-04-26
NOM-00000207,FAC-004,2026-04-27,CRUDE,68460.015,Internal Forecast,Interruptible,ACTIVE,2026-04-27,2026-04-27
NOM-00000208,FAC-004,2026-04-28,GAS,71748.291,Internal Forecast,Interruptible,ACTIVE,2026-04-28,2026-04-28
NOM-00000209,FAC-004,2026-04-29,GAS,69204.791,Operations,Processing,ACTIVE,2026-04-29,2026-04-29
NOM-00000210,FAC-004,2026-04-30,PRODUCED_WATER,72348.152,Internal Forecast,Firm,PENDING,2026-04-30,2026-04-30
NOM-00000211,FAC-004,2026-05-01,PRODUCED_WATER,67624.941,Internal Forecast,Processing,ACTIVE,2026-05-01,2026-05-01
NOM-00000212,FAC-004,2026-05-02,PRODUCED_WATER,70587.46,Internal Forecast,Interruptible,ACTIVE,2026-05-02,2026-05-02
NOM-00000213,FAC-004,2026-05-03,GAS,71737.29,Operations,Interruptible,REVISED,2026-05-03,2026-05-03
NOM-00000214,FAC-004,2026-05-04,GAS,68147.633,Operations,Gathering,ACTIVE,2026-05-04,2026-05-04
NOM-00000215,FAC-004,2026-05-05,GAS,61523.488,Affiliate,Water Services,REVISED,2026-05-05,2026-05-05
NOM-00000216,FAC-004,2026-05-06,GAS,76546.039,Commercial,Processing,ACTIVE,2026-05-06,2026-05-06
NOM-00000217,FAC-004,2026-05-07,GAS,83864.604,Commercial,Gathering,ACTIVE,2026-05-07,2026-05-07
NOM-00000218,FAC-004,2026-05-08,GAS,67440.05,Commercial,Gathering,ACTIVE,2026-05-08,2026-05-08
NOM-00000219,FAC-004,2026-05-09,GAS,59098.528,Affiliate,Gathering,ACTIVE,2026-05-09,2026-05-09
NOM-00000220,FAC-004,2026-05-10,NGL,66404.81,Third-Party,Gathering,ACTIVE,2026-05-10,2026-05-10
NOM-00000221,FAC-004,2026-05-11,GAS,75282.406,Third-Party,Gathering,ACTIVE,2026-05-11,2026-05-11
