flowcal_record_id,meter_id,facility_id,production_date,gas_day,measured_volume,corrected_volume,estimated_flag,validation_status,exception_code,approved_flag,close_status,flowcal_batch_id,extracted_timestamp,last_updated_timestamp
FCAL-00000045,MTR-001,FAC-001,2026-05-15,2026-05-15,12169.852,12162.302,N,VALIDATED,,Y,CLOSED,FCAL-20260515,2026-05-16T06:00:00,2026-05-16T07:00:00
FCAL-00000046,MTR-001,FAC-001,2026-05-16,2026-05-16,11838.933,11606.491,N,VALIDATED,,Y,CLOSED,FCAL-20260516,2026-05-17T06:00:00,2026-05-17T07:00:00
FCAL-00000047,MTR-001,FAC-001,2026-05-17,2026-05-17,11589.681,11462.498,N,VALIDATED,,Y,CLOSED,FCAL-20260517,2026-05-18T06:00:00,2026-05-18T07:00:00
FCAL-00000048,MTR-001,FAC-001,2026-05-18,2026-05-18,11597.44,11600.716,N,VALIDATED,,Y,CLOSED,FCAL-20260518,2026-05-19T06:00:00,2026-05-19T07:00:00
FCAL-00000049,MTR-001,FAC-001,2026-05-19,2026-05-19,12041.75,12069.961,N,VALIDATED,,Y,CLOSED,FCAL-20260519,2026-05-20T06:00:00,2026-05-20T07:00:00
FCAL-00000050,MTR-001,FAC-001,2026-05-20,2026-05-20,12060.058,11851.769,N,VALIDATED,,Y,CLOSED,FCAL-20260520,2026-05-21T06:00:00,2026-05-21T07:00:00
FCAL-00000051,MTR-001,FAC-001,2026-05-21,2026-05-21,12098.765,12057.672,N,VALIDATED,,Y,CLOSED,FCAL-20260521,2026-05-22T06:00:00,2026-05-22T07:00:00
FCAL-00000052,MTR-001,FAC-001,2026-05-22,2026-05-22,12233.38,12294.218,N,VALIDATED,,Y,CLOSED,FCAL-20260522,2026-05-23T06:00:00,2026-05-23T07:00:00
FCAL-00000053,MTR-001,FAC-001,2026-05-23,2026-05-23,11734.954,11549.922,N,VALIDATED,,Y,CLOSED,FCAL-20260523,2026-05-24T06:00:00,2026-05-24T07:00:00
FCAL-00000054,MTR-001,FAC-001,2026-05-24,2026-05-24,11453.048,11253.779,N,VALIDATED,,Y,CLOSED,FCAL-20260524,2026-05-25T06:00:00,2026-05-25T07:00:00
FCAL-00000055,MTR-001,FAC-001,2026-05-25,2026-05-25,11534.206,11495.685,N,VALIDATED,,Y,CLOSED,FCAL-20260525,2026-05-26T06:00:00,2026-05-26T07:00:00
FCAL-00000056,MTR-001,FAC-001,2026-05-26,2026-05-26,11998.02,11797.577,N,VALIDATED,,Y,CLOSED,FCAL-20260526,2026-05-27T06:00:00,2026-05-27T07:00:00
FCAL-00000057,MTR-001,FAC-001,2026-05-27,2026-05-27,12256.106,12255.793,N,VALIDATED,,Y,CLOSED,FCAL-20260527,2026-05-28T06:00:00,2026-05-28T07:00:00
FCAL-00000058,MTR-001,FAC-001,2026-05-28,2026-05-28,12390.196,12504.15,N,VALIDATED,,Y,CLOSED,FCAL-20260528,2026-05-29T06:00:00,2026-05-29T07:00:00
FCAL-00000059,MTR-001,FAC-001,2026-05-29,2026-05-29,12200.588,12024.461,N,VALIDATED,,Y,CLOSED,FCAL-20260529,2026-05-30T06:00:00,2026-05-30T07:00:00
FCAL-00000060,MTR-001,FAC-001,2026-05-30,2026-05-30,11486.577,11565.045,N,VALIDATED,,Y,CLOSED,FCAL-20260530,2026-05-31T06:00:00,2026-05-31T07:00:00
FCAL-00000061,MTR-002,FAC-001,2026-04-01,2026-04-01,14655.717,14700.676,N,VALIDATED,,Y,CLOSED,FCAL-20260401,2026-04-02T06:00:00,2026-04-02T07:00:00
FCAL-00000062,MTR-002,FAC-001,2026-04-02,2026-04-02,15264.24,15238.484,N,VALIDATED,,Y,CLOSED,FCAL-20260402,2026-04-03T06:00:00,2026-04-03T07:00:00
FCAL-00000063,MTR-002,FAC-001,2026-04-03,2026-04-03,14932.77,14991.727,N,VALIDATED,,Y,CLOSED,FCAL-20260403,2026-04-04T06:00:00,2026-04-04T07:00:00
FCAL-00000064,MTR-002,FAC-001,2026-04-04,2026-04-04,14531.956,14812.075,N,VALIDATED,,Y,CLOSED,FCAL-20260404,2026-04-05T06:00:00,2026-04-05T07:00:00
FCAL-00000065,MTR-002,FAC-001,2026-04-05,2026-04-05,14062.377,14081.968,N,VALIDATED,,Y,CLOSED,FCAL-20260405,2026-04-06T06:00:00,2026-04-06T07:00:00
FCAL-00000066,MTR-002,FAC-001,2026-04-06,2026-04-06,14093.278,14083.489,N,VALIDATED,,Y,CLOSED,FCAL-20260406,2026-04-07T06:00:00,2026-04-07T07:00:00
FCAL-00000067,MTR-002,FAC-001,2026-04-07,2026-04-07,14368.215,14149.957,N,VALIDATED,,Y,CLOSED,FCAL-20260407,2026-04-08T06:00:00,2026-04-08T07:00:00
FCAL-00000068,MTR-002,FAC-001,2026-04-08,2026-04-08,15119.356,15355.232,N,VALIDATED,,Y,CLOSED,FCAL-20260408,2026-04-09T06:00:00,2026-04-09T07:00:00
FCAL-00000069,MTR-002,FAC-001,2026-04-09,2026-04-09,14896.983,14856.111,N,VALIDATED,,Y,CLOSED,FCAL-20260409,2026-04-10T06:00:00,2026-04-10T07:00:00
FCAL-00000070,MTR-002,FAC-001,2026-04-10,2026-04-10,15231.879,15562.765,N,VALIDATED,,Y,CLOSED,FCAL-20260410,2026-04-11T06:00:00,2026-04-11T07:00:00
FCAL-00000071,MTR-002,FAC-001,2026-04-11,2026-04-11,14329.879,14224.151,N,VALIDATED,,Y,CLOSED,FCAL-20260411,2026-04-12T06:00:00,2026-04-12T07:00:00
FCAL-00000072,MTR-002,FAC-001,2026-04-12,2026-04-12,14195.69,14385.032,N,VALIDATED,,Y,CLOSED,FCAL-20260412,2026-04-13T06:00:00,2026-04-13T07:00:00
FCAL-00000073,MTR-002,FAC-001,2026-04-13,2026-04-13,14236.938,14137.006,N,VALIDATED,,Y,CLOSED,FCAL-20260413,2026-04-14T06:00:00,2026-04-14T07:00:00
FCAL-00000074,MTR-002,FAC-001,2026-04-14,2026-04-14,14809.891,14933.297,N,VALIDATED,,Y,CLOSED,FCAL-20260414,2026-04-15T06:00:00,2026-04-15T07:00:00
FCAL-00000075,MTR-002,FAC-001,2026-04-15,2026-04-15,15136.785,15165.869,N,VALIDATED,,Y,CLOSED,FCAL-20260415,2026-04-16T06:00:00,2026-04-16T07:00:00
FCAL-00000076,MTR-002,FAC-001,2026-04-16,2026-04-16,14938.395,14934.738,N,VALIDATED,,Y,CLOSED,FCAL-20260416,2026-04-17T06:00:00,2026-04-17T07:00:00
FCAL-00000077,MTR-002,FAC-001,2026-04-17,2026-04-17,15219.582,15107.647,N,VALIDATED,,Y,CLOSED,FCAL-20260417,2026-04-18T06:00:00,2026-04-18T07:00:00
FCAL-00000078,MTR-002,FAC-001,2026-04-18,2026-04-18,14289.91,14403.22,N,VALIDATED,,Y,CLOSED,FCAL-20260418,2026-04-19T06:00:00,2026-04-19T07:00:00
FCAL-00000079,MTR-002,FAC-001,2026-04-19,2026-04-19,14807.618,15053.182,N,VALIDATED,,Y,CLOSED,FCAL-20260419,2026-04-20T06:00:00,2026-04-20T07:00:00
FCAL-00000080,MTR-002,FAC-001,2026-04-20,2026-04-20,13935.287,13834.932,N,VALIDATED,,Y,CLOSED,FCAL-20260420,2026-04-21T06:00:00,2026-04-21T07:00:00
FCAL-00000081,MTR-002,FAC-001,2026-04-21,2026-04-21,14209.92,14268.893,N,VALIDATED,,Y,CLOSED,FCAL-20260421,2026-04-22T06:00:00,2026-04-22T07:00:00
FCAL-00000082,MTR-002,FAC-001,2026-04-22,2026-04-22,14776.917,14713.229,N,VALIDATED,,Y,CLOSED,FCAL-20260422,2026-04-23T06:00:00,2026-04-23T07:00:00
FCAL-00000083,MTR-002,FAC-001,2026-04-23,2026-04-23,15115.183,15167.34,N,VALIDATED,,Y,CLOSED,FCAL-20260423,2026-04-24T06:00:00,2026-04-24T07:00:00
FCAL-00000084,MTR-002,FAC-001,2026-04-24,2026-04-24,14761.986,15073.524,N,VALIDATED,,Y,CLOSED,FCAL-20260424,2026-04-25T06:00:00,2026-04-25T07:00:00
FCAL-00000085,MTR-002,FAC-001,2026-04-25,2026-04-25,14649.909,14813.957,N,VALIDATED,,Y,CLOSED,FCAL-20260425,2026-04-26T06:00:00,2026-04-26T07:00:00
FCAL-00000086,MTR-002,FAC-001,2026-04-26,2026-04-26,14253.964,14110.734,N,VALIDATED,,Y,CLOSED,FCAL-20260426,2026-04-27T06:00:00,2026-04-27T07:00:00
FCAL-00000087,MTR-002,FAC-001,2026-04-27,2026-04-27,14283.623,14024.799,N,VALIDATED,,Y,CLOSED,FCAL-20260427,2026-04-28T06:00:00,2026-04-28T07:00:00
FCAL-00000088,MTR-002,FAC-001,2026-04-28,2026-04-28,14436.734,14384.138,N,VALIDATED,,Y,CLOSED,FCAL-20260428,2026-04-29T06:00:00,2026-04-29T07:00:00
FCAL-00000089,MTR-002,FAC-001,2026-04-29,2026-04-29,14484.548,14417.172,N,VALIDATED,,Y,CLOSED,FCAL-20260429,2026-04-30T06:00:00,2026-04-30T07:00:00
FCAL-00000090,MTR-002,FAC-001,2026-04-30,2026-04-30,15654.578,15483.625,N,VALIDATED,,Y,CLOSED,FCAL-20260430,2026-05-01T06:00:00,2026-05-01T07:00:00
FCAL-00000091,MTR-002,FAC-001,2026-05-01,2026-05-01,14540.165,14543.563,N,VALIDATED,,Y,CLOSED,FCAL-20260501,2026-05-02T06:00:00,2026-05-02T07:00:00
FCAL-00000092,MTR-002,FAC-001,2026-05-02,2026-05-02,14530.436,14226.406,N,VALIDATED,,Y,CLOSED,FCAL-20260502,2026-05-03T06:00:00,2026-05-03T07:00:00
FCAL-00000093,MTR-002,FAC-001,2026-05-03,2026-05-03,14428.048,14322.359,N,VALIDATED,,Y,CLOSED,FCAL-20260503,2026-05-04T06:00:00,2026-05-04T07:00:00
FCAL-00000094,MTR-002,FAC-001,2026-05-04,2026-05-04,14284.998,13918.685,N,VALIDATED,,Y,CLOSED,FCAL-20260504,2026-05-05T06:00:00,2026-05-05T07:00:00
FCAL-00000095,MTR-002,FAC-001,2026-05-05,2026-05-05,14480.109,14534.478,N,VALIDATED,,Y,CLOSED,FCAL-20260505,2026-05-06T06:00:00,2026-05-06T07:00:00
FCAL-00000096,MTR-002,FAC-001,2026-05-06,2026-05-06,14641.5,14756.286,N,VALIDATED,,Y,CLOSED,FCAL-20260506,2026-05-07T06:00:00,2026-05-07T07:00:00
FCAL-00000097,MTR-002,FAC-001,2026-05-07,2026-05-07,14758.654,14679.087,N,VALIDATED,,Y,CLOSED,FCAL-20260507,2026-05-08T06:00:00,2026-05-08T07:00:00
FCAL-00000098,MTR-002,FAC-001,2026-05-08,2026-05-08,14751.342,15002.231,N,VALIDATED,,Y,CLOSED,FCAL-20260508,2026-05-09T06:00:00,2026-05-09T07:00:00
FCAL-00000099,MTR-002,FAC-001,2026-05-09,2026-05-09,14749.869,14908.256,N,VALIDATED,,Y,CLOSED,FCAL-20260509,2026-05-10T06:00:00,2026-05-10T07:00:00
FCAL-00000100,MTR-002,FAC-001,2026-05-10,2026-05-10,14544.806,14288.038,N,VALIDATED,,Y,CLOSED,FCAL-20260510,2026-05-11T06:00:00,2026-05-11T07:00:00
FCAL-00000101,MTR-002,FAC-001,2026-05-11,2026-05-11,14283.913,14433.526,N,VALIDATED,,Y,CLOSED,FCAL-20260511,2026-05-12T06:00:00,2026-05-12T07:00:00
FCAL-00000102,MTR-002,FAC-001,2026-05-12,2026-05-12,14117.582,14352.67,N,VALIDATED,,Y,CLOSED,FCAL-20260512,2026-05-13T06:00:00,2026-05-13T07:00:00
FCAL-00000103,MTR-002,FAC-001,2026-05-13,2026-05-13,14404.097,14453.046,N,VALIDATED,,Y,CLOSED,FCAL-20260513,2026-05-14T06:00:00,2026-05-14T07:00:00
FCAL-00000104,MTR-002,FAC-001,2026-05-14,2026-05-14,14860.948,14763.026,N,VALIDATED,,Y,CLOSED,FCAL-20260514,2026-05-15T06:00:00,2026-05-15T07:00:00
FCAL-00000105,MTR-002,FAC-001,2026-05-15,2026-05-15,15341.769,15656.467,N,VALIDATED,,Y,CLOSED,FCAL-20260515,2026-05-16T06:00:00,2026-05-16T07:00:00
FCAL-00000106,MTR-002,FAC-001,2026-05-16,2026-05-16,14466.559,14643.868,N,VALIDATED,,Y,CLOSED,FCAL-20260516,2026-05-17T06:00:00,2026-05-17T07:00:00
FCAL-00000107,MTR-002,FAC-001,2026-05-17,2026-05-17,14125.98,14021.926,N,VALIDATED,,Y,CLOSED,FCAL-20260517,2026-05-18T06:00:00,2026-05-18T07:00:00
FCAL-00000108,MTR-002,FAC-001,2026-05-18,2026-05-18,13981.032,13899.125,N,VALIDATED,,Y,CLOSED,FCAL-20260518,2026-05-19T06:00:00,2026-05-19T07:00:00
FCAL-00000109,MTR-002,FAC-001,2026-05-19,2026-05-19,14446.372,14565.316,N,VALIDATED,,Y,CLOSED,FCAL-20260519,2026-05-20T06:00:00,2026-05-20T07:00:00
FCAL-00000110,MTR-002,FAC-001,2026-05-20,2026-05-20,14292.059,14544.517,N,VALIDATED,,Y,CLOSED,FCAL-20260520,2026-05-21T06:00:00,2026-05-21T07:00:00
FCAL-00000111,MTR-002,FAC-001,2026-05-21,2026-05-21,14692.062,14818.454,N,VALIDATED,,Y,CLOSED,FCAL-20260521,2026-05-22T06:00:00,2026-05-22T07:00:00
FCAL-00000112,MTR-002,FAC-001,2026-05-22,2026-05-22,14697.15,14795.991,N,VALIDATED,,Y,CLOSED,FCAL-20260522,2026-05-23T06:00:00,2026-05-23T07:00:00
FCAL-00000113,MTR-002,FAC-001,2026-05-23,2026-05-23,14434.116,14385.84,N,VALIDATED,,Y,CLOSED,FCAL-20260523,2026-05-24T06:00:00,2026-05-24T07:00:00
FCAL-00000114,MTR-002,FAC-001,2026-05-24,2026-05-24,14729.074,14713.126,N,VALIDATED,,Y,CLOSED,FCAL-20260524,2026-05-25T06:00:00,2026-05-25T07:00:00
FCAL-00000115,MTR-002,FAC-001,2026-05-25,2026-05-25,13874.907,13873.952,N,VALIDATED,,Y,CLOSED,FCAL-20260525,2026-05-26T06:00:00,2026-05-26T07:00:00
FCAL-00000116,MTR-002,FAC-001,2026-05-26,2026-05-26,14151.532,14237.317,N,VALIDATED,,Y,CLOSED,FCAL-20260526,2026-05-27T06:00:00,2026-05-27T07:00:00
FCAL-00000117,MTR-002,FAC-001,2026-05-27,2026-05-27,14968.211,15015.986,N,VALIDATED,,Y,CLOSED,FCAL-20260527,2026-05-28T06:00:00,2026-05-28T07:00:00
FCAL-00000118,MTR-002,FAC-001,2026-05-28,2026-05-28,14779.394,14691.988,N,VALIDATED,,Y,CLOSED,FCAL-20260528,2026-05-29T06:00:00,2026-05-29T07:00:00
FCAL-00000119,MTR-002,FAC-001,2026-05-29,2026-05-29,14807.654,14387.644,N,VALIDATED,,Y,CLOSED,FCAL-20260529,2026-05-30T06:00:00,2026-05-30T07:00:00
FCAL-00000120,MTR-002,FAC-001,2026-05-30,2026-05-30,14368.287,14027.12,N,VALIDATED,,Y,CLOSED,FCAL-20260530,2026-05-31T06:00:00,2026-05-31T07:00:00
FCAL-00000121,MTR-003,FAC-001,2026-04-01,2026-04-01,14187.808,13992.771,N,VALIDATED,,Y,CLOSED,FCAL-20260401,2026-04-02T06:00:00,2026-04-02T07:00:00
FCAL-00000122,MTR-003,FAC-001,2026-04-02,2026-04-02,14796.579,14860.922,N,VALIDATED,,Y,CLOSED,FCAL-20260402,2026-04-03T06:00:00,2026-04-03T07:00:00
FCAL-00000123,MTR-003,FAC-001,2026-04-03,2026-04-03,14387.48,14424.482,N,VALIDATED,,Y,CLOSED,FCAL-20260403,2026-04-04T06:00:00,2026-04-04T07:00:00
FCAL-00000124,MTR-003,FAC-001,2026-04-04,2026-04-04,13962.121,13996.089,N,VALIDATED,,Y,CLOSED,FCAL-20260404,2026-04-05T06:00:00,2026-04-05T07:00:00
FCAL-00000125,MTR-003,FAC-001,2026-04-05,2026-04-05,13750.45,13581.258,N,VALIDATED,,Y,CLOSED,FCAL-20260405,2026-04-06T06:00:00,2026-04-06T07:00:00
FCAL-00000126,MTR-003,FAC-001,2026-04-06,2026-04-06,13615.376,13413.538,N,VALIDATED,,Y,CLOSED,FCAL-20260406,2026-04-07T06:00:00,2026-04-07T07:00:00
FCAL-00000127,MTR-003,FAC-001,2026-04-07,2026-04-07,13908.099,13993.568,N,VALIDATED,,Y,CLOSED,FCAL-20260407,2026-04-08T06:00:00,2026-04-08T07:00:00
FCAL-00000128,MTR-003,FAC-001,2026-04-08,2026-04-08,14762.853,15067.34,N,VALIDATED,,Y,CLOSED,FCAL-20260408,2026-04-09T06:00:00,2026-04-09T07:00:00
FCAL-00000129,MTR-003,FAC-001,2026-04-09,2026-04-09,14346.559,14293.421,N,VALIDATED,,Y,CLOSED,FCAL-20260409,2026-04-10T06:00:00,2026-04-10T07:00:00
FCAL-00000130,MTR-003,FAC-001,2026-04-10,2026-04-10,14383.261,13988.019,N,VALIDATED,,Y,CLOSED,FCAL-20260410,2026-04-11T06:00:00,2026-04-11T07:00:00
FCAL-00000131,MTR-003,FAC-001,2026-04-11,2026-04-11,14218.843,14026.69,N,VALIDATED,,Y,CLOSED,FCAL-20260411,2026-04-12T06:00:00,2026-04-12T07:00:00
FCAL-00000132,MTR-003,FAC-001,2026-04-12,2026-04-12,13734.706,13628.804,N,VALIDATED,,Y,CLOSED,FCAL-20260412,2026-04-13T06:00:00,2026-04-13T07:00:00
FCAL-00000133,MTR-003,FAC-001,2026-04-13,2026-04-13,13850.984,13629.397,N,VALIDATED,,Y,CLOSED,FCAL-20260413,2026-04-14T06:00:00,2026-04-14T07:00:00
FCAL-00000134,MTR-003,FAC-001,2026-04-14,2026-04-14,13929.892,13916.634,N,VALIDATED,,Y,CLOSED,FCAL-20260414,2026-04-15T06:00:00,2026-04-15T07:00:00
FCAL-00000135,MTR-003,FAC-001,2026-04-15,2026-04-15,13898.22,14141.409,N,VALIDATED,,Y,CLOSED,FCAL-20260415,2026-04-16T06:00:00,2026-04-16T07:00:00
FCAL-00000136,MTR-003,FAC-001,2026-04-16,2026-04-16,14515.589,14800.979,N,VALIDATED,,Y,CLOSED,FCAL-20260416,2026-04-17T06:00:00,2026-04-17T07:00:00
FCAL-00000137,MTR-003,FAC-001,2026-04-17,2026-04-17,14475.537,14583.533,N,VALIDATED,,Y,CLOSED,FCAL-20260417,2026-04-18T06:00:00,2026-04-18T07:00:00
FCAL-00000138,MTR-003,FAC-001,2026-04-18,2026-04-18,14267.276,14389.365,N,VALIDATED,,Y,CLOSED,FCAL-20260418,2026-04-19T06:00:00,2026-04-19T07:00:00
FCAL-00000139,MTR-003,FAC-001,2026-04-19,2026-04-19,13906.318,13758.05,N,VALIDATED,,Y,CLOSED,FCAL-20260419,2026-04-20T06:00:00,2026-04-20T07:00:00
