meter_id,facility_id,meter_name,meter_type,product,measurement_type,custody_transfer_flag,source_system,polling_platform,install_date,active_flag,expected_min_volume,expected_max_volume,sample_interval_minutes
MTR-034,FAC-007,FAC-007-Meter-034,Orifice,GAS,ALLOCATION,N,PI_SIM,PI_CONNECTOR_SIM,2023-03-19,Y,116.64,1177.5,60
MTR-035,FAC-007,FAC-007-Meter-035,Mag Meter,GAS,ALLOCATION,N,PI_SIM,CYGNET_SIM,2019-12-31,Y,112.84,1385.43,60
MTR-036,FAC-008,FAC-008-Meter-036,Orifice,NGL,ALLOCATION,N,PI_SIM,CYGNET_SIM,2025-09-13,Y,39.41,754.19,60
MTR-037,FAC-008,FAC-008-Meter-037,Coriolis,GAS,VOLUME,N,PI_SIM,PI_CONNECTOR_SIM,2025-02-04,N,152.57,934.49,60
MTR-038,FAC-008,FAC-008-Meter-038,Mag Meter,NGL,VOLUME,N,SimulatedPollingConnector,CYGNET_SIM,2020-02-09,Y,64.13,787.31,60
MTR-039,FAC-008,FAC-008-Meter-039,Coriolis,GAS,VOLUME,N,FlowCalSim,PI_CONNECTOR_SIM,2025-04-30,Y,136.5,1422.43,60
MTR-040,FAC-008,FAC-008-Meter-040,Ultrasonic,GAS,VOLUME,Y,FlowCalSim,CYGNET_SIM,2020-08-24,Y,139.96,1781.24,60
MTR-041,FAC-009,FAC-009-Meter-041,Turbine,CRUDE,CUSTODY_TRANSFER,Y,PI_SIM,CYGNET_SIM,2021-10-25,Y,53.56,400.14,60
MTR-042,FAC-009,FAC-009-Meter-042,Mag Meter,GAS,VOLUME,N,SimulatedPollingConnector,CYGNET_SIM,2025-05-20,Y,95.76,997.78,60
MTR-043,FAC-009,FAC-009-Meter-043,Ultrasonic,PRODUCED_WATER,OPERATIONAL,N,FlowCalSim,MANUAL_UPLOAD,2021-05-14,Y,86.82,835.56,60
MTR-044,FAC-009,FAC-009-Meter-044,Ultrasonic,GAS,ALLOCATION,N,ProCountSim,CYGNET_SIM,2025-02-26,Y,165.05,1487.07,60
MTR-045,FAC-009,FAC-009-Meter-045,Orifice,PRODUCED_WATER,VOLUME,N,FlowCalSim,PI_CONNECTOR_SIM,2025-11-04,Y,57.72,820.98,60
MTR-046,FAC-010,FAC-010-Meter-046,Orifice,GAS,CUSTODY_TRANSFER,Y,ProCountSim,IGNITION_SIM,2021-08-25,Y,179.7,1729.2,60
MTR-047,FAC-010,FAC-010-Meter-047,Mag Meter,NGL,VOLUME,Y,SimulatedPollingConnector,IGNITION_SIM,2019-09-08,Y,29.52,843.37,60
MTR-048,FAC-010,FAC-010-Meter-048,Ultrasonic,GAS,VOLUME,Y,PI_SIM,PI_CONNECTOR_SIM,2020-03-30,Y,171.06,1506.27,60
MTR-049,FAC-010,FAC-010-Meter-049,Turbine,GAS,OPERATIONAL,N,PI_SIM,IGNITION_SIM,2022-02-20,Y,164.94,907.23,60
MTR-050,FAC-010,FAC-010-Meter-050,Ultrasonic,PRODUCED_WATER,VOLUME,N,ProCountSim,PI_CONNECTOR_SIM,2025-03-18,Y,42.41,641.25,60
MTR-051,FAC-011,FAC-011-Meter-051,Ultrasonic,GAS,ALLOCATION,N,FlowCalSim,CYGNET_SIM,2021-12-27,Y,153.46,1043.04,60
MTR-052,FAC-011,FAC-011-Meter-052,Mag Meter,GAS,ALLOCATION,Y,FlowCalSim,OASYS_SIM,2024-07-21,Y,141.63,892.35,60
MTR-053,FAC-011,FAC-011-Meter-053,Orifice,PRODUCED_WATER,ALLOCATION,Y,ProCountSim,MANUAL_UPLOAD,2025-05-07,Y,67.51,1048.86,60
MTR-054,FAC-011,FAC-011-Meter-054,Turbine,GAS,OPERATIONAL,Y,FlowCalSim,CYGNET_SIM,2024-04-24,Y,137.8,1549.78,60
MTR-055,FAC-011,FAC-011-Meter-055,Mag Meter,GAS,VOLUME,N,FlowCalSim,CYGNET_SIM,2022-09-30,Y,91.92,984.09,60
MTR-056,FAC-012,FAC-012-Meter-056,Orifice,NGL,ALLOCATION,N,PI_SIM,CYGNET_SIM,2020-09-04,Y,45.59,574.83,60
MTR-057,FAC-012,FAC-012-Meter-057,Orifice,GAS,ALLOCATION,N,ProCountSim,IGNITION_SIM,2025-09-11,Y,102.56,1422.46,60
MTR-058,FAC-012,FAC-012-Meter-058,Coriolis,GAS,ALLOCATION,N,PI_SIM,IGNITION_SIM,2024-09-09,Y,158.74,1399.14,60
MTR-059,FAC-012,FAC-012-Meter-059,Turbine,PRODUCED_WATER,CUSTODY_TRANSFER,N,ProCountSim,PI_CONNECTOR_SIM,2022-09-20,Y,95.26,852.54,60
MTR-060,FAC-012,FAC-012-Meter-060,Mag Meter,GAS,VOLUME,N,ProCountSim,OASYS_SIM,2020-07-01,Y,91.59,922.06,60
MTR-061,FAC-013,FAC-013-Meter-061,Coriolis,GAS,CUSTODY_TRANSFER,N,PI_SIM,OASYS_SIM,2023-11-02,Y,154.27,864.68,60
MTR-062,FAC-013,FAC-013-Meter-062,Mag Meter,NGL,OPERATIONAL,N,FlowCalSim,IGNITION_SIM,2022-10-16,Y,30.98,550.71,60
MTR-063,FAC-013,FAC-013-Meter-063,Orifice,CRUDE,VOLUME,N,SimulatedPollingConnector,OASYS_SIM,2023-12-25,N,39.39,538.4,60
MTR-064,FAC-013,FAC-013-Meter-064,Coriolis,GAS,CUSTODY_TRANSFER,N,ProCountSim,CYGNET_SIM,2019-12-10,Y,163.63,1839.13,60
MTR-065,FAC-013,FAC-013-Meter-065,Ultrasonic,GAS,VOLUME,Y,FlowCalSim,OASYS_SIM,2025-01-14,Y,88.0,1605.33,60
MTR-066,FAC-014,FAC-014-Meter-066,Orifice,PRODUCED_WATER,VOLUME,N,ProCountSim,OASYS_SIM,2024-09-19,Y,42.68,663.0,60
MTR-067,FAC-014,FAC-014-Meter-067,Coriolis,GAS,ALLOCATION,N,ProCountSim,OASYS_SIM,2022-11-04,Y,164.36,1487.59,60
MTR-068,FAC-014,FAC-014-Meter-068,Mag Meter,GAS,VOLUME,N,ProCountSim,CYGNET_SIM,2020-02-09,Y,133.95,1188.46,60
MTR-069,FAC-014,FAC-014-Meter-069,Orifice,PRODUCED_WATER,VOLUME,N,FlowCalSim,OASYS_SIM,2020-08-08,Y,75.23,1095.19,60
MTR-070,FAC-014,FAC-014-Meter-070,Ultrasonic,GAS,VOLUME,Y,FlowCalSim,MANUAL_UPLOAD,2023-06-24,Y,171.73,1480.83,60
MTR-071,FAC-015,FAC-015-Meter-071,Coriolis,GAS,VOLUME,N,SimulatedPollingConnector,IGNITION_SIM,2025-10-07,Y,110.75,1448.48,60
MTR-072,FAC-015,FAC-015-Meter-072,Turbine,PRODUCED_WATER,OPERATIONAL,N,FlowCalSim,PI_CONNECTOR_SIM,2019-10-10,Y,77.22,834.25,60
MTR-073,FAC-015,FAC-015-Meter-073,Mag Meter,PRODUCED_WATER,ALLOCATION,N,FlowCalSim,MANUAL_UPLOAD,2019-11-28,Y,46.85,1012.69,60
MTR-074,FAC-015,FAC-015-Meter-074,Turbine,PRODUCED_WATER,VOLUME,Y,FlowCalSim,IGNITION_SIM,2019-11-12,Y,57.29,1013.63,60
MTR-075,FAC-015,FAC-015-Meter-075,Orifice,GAS,VOLUME,N,PI_SIM,OASYS_SIM,2025-08-31,Y,178.55,1314.97,60
MTR-076,FAC-016,FAC-016-Meter-076,Mag Meter,GAS,VOLUME,N,PI_SIM,OASYS_SIM,2023-02-23,Y,160.21,1774.7,60
MTR-077,FAC-016,FAC-016-Meter-077,Ultrasonic,NGL,CUSTODY_TRANSFER,N,PI_SIM,OASYS_SIM,2025-08-13,Y,60.66,775.55,60
MTR-078,FAC-016,FAC-016-Meter-078,Ultrasonic,GAS,VOLUME,N,ProCountSim,CYGNET_SIM,2023-02-25,Y,142.19,1708.13,60
MTR-079,FAC-016,FAC-016-Meter-079,Coriolis,PRODUCED_WATER,VOLUME,N,PI_SIM,OASYS_SIM,2025-09-26,Y,80.3,666.36,60
MTR-080,FAC-016,FAC-016-Meter-080,Mag Meter,NGL,VOLUME,Y,ProCountSim,IGNITION_SIM,2022-06-28,Y,44.85,501.15,60
MTR-081,FAC-017,FAC-017-Meter-081,Turbine,CRUDE,VOLUME,N,FlowCalSim,MANUAL_UPLOAD,2023-10-15,Y,69.94,383.36,60
MTR-082,FAC-017,FAC-017-Meter-082,Mag Meter,CRUDE,VOLUME,Y,SimulatedPollingConnector,OASYS_SIM,2022-10-29,Y,49.76,426.57,60
MTR-083,FAC-017,FAC-017-Meter-083,Mag Meter,GAS,VOLUME,N,ProCountSim,MANUAL_UPLOAD,2023-08-22,Y,81.77,1303.28,60
MTR-084,FAC-017,FAC-017-Meter-084,Mag Meter,CRUDE,VOLUME,N,PI_SIM,CYGNET_SIM,2023-10-04,Y,47.04,378.04,60
MTR-085,FAC-017,FAC-017-Meter-085,Ultrasonic,CRUDE,VOLUME,N,FlowCalSim,OASYS_SIM,2020-03-31,Y,49.54,544.05,60
MTR-086,FAC-018,FAC-018-Meter-086,Turbine,PRODUCED_WATER,CUSTODY_TRANSFER,N,PI_SIM,MANUAL_UPLOAD,2024-05-10,Y,56.99,893.04,60
MTR-087,FAC-018,FAC-018-Meter-087,Orifice,NGL,VOLUME,N,PI_SIM,OASYS_SIM,2022-12-13,Y,65.73,846.4,60
MTR-088,FAC-018,FAC-018-Meter-088,Coriolis,NGL,VOLUME,N,ProCountSim,OASYS_SIM,2020-02-01,N,72.77,632.0,60
MTR-089,FAC-018,FAC-018-Meter-089,Orifice,GAS,VOLUME,Y,ProCountSim,OASYS_SIM,2025-04-12,Y,86.55,1305.12,60
MTR-090,FAC-018,FAC-018-Meter-090,Orifice,GAS,VOLUME,N,SimulatedPollingConnector,OASYS_SIM,2023-02-12,Y,86.05,1548.19,60
MTR-091,FAC-019,FAC-019-Meter-091,Ultrasonic,GAS,VOLUME,N,ProCountSim,CYGNET_SIM,2023-04-28,Y,166.28,851.23,60
MTR-092,FAC-019,FAC-019-Meter-092,Orifice,CRUDE,VOLUME,N,PI_SIM,OASYS_SIM,2024-06-28,Y,62.06,367.16,60
MTR-093,FAC-019,FAC-019-Meter-093,Coriolis,GAS,ALLOCATION,Y,FlowCalSim,OASYS_SIM,2021-08-28,Y,173.04,898.57,60
MTR-094,FAC-019,FAC-019-Meter-094,Ultrasonic,GAS,VOLUME,Y,ProCountSim,OASYS_SIM,2020-02-06,Y,171.88,859.26,60
MTR-095,FAC-019,FAC-019-Meter-095,Coriolis,NGL,CUSTODY_TRANSFER,N,SimulatedPollingConnector,OASYS_SIM,2022-01-19,Y,54.51,817.19,60
MTR-096,FAC-020,FAC-020-Meter-096,Mag Meter,CRUDE,VOLUME,N,PI_SIM,CYGNET_SIM,2024-05-15,Y,62.77,364.42,60
MTR-097,FAC-020,FAC-020-Meter-097,Ultrasonic,CRUDE,VOLUME,N,ProCountSim,OASYS_SIM,2019-10-10,Y,35.92,609.65,60
MTR-098,FAC-020,FAC-020-Meter-098,Ultrasonic,GAS,VOLUME,N,PI_SIM,IGNITION_SIM,2023-07-12,Y,82.98,1196.48,60
MTR-099,FAC-020,FAC-020-Meter-099,Orifice,GAS,VOLUME,N,SimulatedPollingConnector,OASYS_SIM,2021-07-02,Y,169.0,1443.83,60
MTR-100,FAC-020,FAC-020-Meter-100,Ultrasonic,GAS,OPERATIONAL,N,FlowCalSim,PI_CONNECTOR_SIM,2020-02-25,Y,179.18,854.01,60
MTR-101,FAC-021,FAC-021-Meter-101,Ultrasonic,PRODUCED_WATER,VOLUME,N,FlowCalSim,OASYS_SIM,2025-02-16,Y,72.17,935.25,60
MTR-102,FAC-021,FAC-021-Meter-102,Coriolis,NGL,VOLUME,N,PI_SIM,CYGNET_SIM,2025-08-06,Y,66.81,359.99,60
MTR-103,FAC-021,FAC-021-Meter-103,Coriolis,GAS,ALLOCATION,N,ProCountSim,MANUAL_UPLOAD,2024-05-03,Y,119.62,1527.62,60
MTR-104,FAC-021,FAC-021-Meter-104,Turbine,GAS,VOLUME,N,PI_SIM,PI_CONNECTOR_SIM,2025-09-13,N,131.46,862.47,60
MTR-105,FAC-021,FAC-021-Meter-105,Orifice,GAS,VOLUME,Y,PI_SIM,PI_CONNECTOR_SIM,2025-05-02,Y,148.26,999.37,60
MTR-106,FAC-022,FAC-022-Meter-106,Turbine,PRODUCED_WATER,CUSTODY_TRANSFER,N,FlowCalSim,IGNITION_SIM,2020-06-05,Y,52.73,828.86,60
MTR-107,FAC-022,FAC-022-Meter-107,Coriolis,CRUDE,OPERATIONAL,N,SimulatedPollingConnector,PI_CONNECTOR_SIM,2022-09-11,Y,59.15,506.47,60
MTR-108,FAC-022,FAC-022-Meter-108,Ultrasonic,GAS,OPERATIONAL,N,PI_SIM,PI_CONNECTOR_SIM,2023-01-28,Y,100.44,1593.6,60
MTR-109,FAC-022,FAC-022-Meter-109,Coriolis,GAS,VOLUME,N,ProCountSim,MANUAL_UPLOAD,2021-06-06,Y,111.91,1458.74,60
MTR-110,FAC-022,FAC-022-Meter-110,Orifice,GAS,VOLUME,Y,FlowCalSim,OASYS_SIM,2023-08-29,Y,99.67,1227.21,60
MTR-111,FAC-023,FAC-023-Meter-111,Coriolis,PRODUCED_WATER,OPERATIONAL,Y,PI_SIM,OASYS_SIM,2021-08-25,Y,54.62,569.25,60
MTR-112,FAC-023,FAC-023-Meter-112,Orifice,GAS,VOLUME,N,SimulatedPollingConnector,IGNITION_SIM,2023-01-31,Y,132.2,1318.42,60
MTR-113,FAC-023,FAC-023-Meter-113,Ultrasonic,GAS,CUSTODY_TRANSFER,N,FlowCalSim,PI_CONNECTOR_SIM,2019-12-07,Y,91.07,1102.44,60
MTR-114,FAC-023,FAC-023-Meter-114,Ultrasonic,PRODUCED_WATER,VOLUME,N,SimulatedPollingConnector,OASYS_SIM,2022-03-31,Y,98.94,1167.1,60
MTR-115,FAC-023,FAC-023-Meter-115,Coriolis,PRODUCED_WATER,VOLUME,Y,SimulatedPollingConnector,PI_CONNECTOR_SIM,2022-06-21,Y,77.01,879.66,60
MTR-116,FAC-024,FAC-024-Meter-116,Orifice,NGL,VOLUME,N,SimulatedPollingConnector,OASYS_SIM,2020-08-17,Y,61.76,512.82,60
MTR-117,FAC-024,FAC-024-Meter-117,Turbine,PRODUCED_WATER,VOLUME,N,SimulatedPollingConnector,OASYS_SIM,2021-02-06,Y,47.24,1127.29,60
MTR-118,FAC-024,FAC-024-Meter-118,Turbine,GAS,CUSTODY_TRANSFER,N,ProCountSim,CYGNET_SIM,2020-06-07,Y,124.99,1095.26,60
MTR-119,FAC-024,FAC-024-Meter-119,Ultrasonic,GAS,OPERATIONAL,N,PI_SIM,CYGNET_SIM,2023-10-21,N,104.48,1011.25,60
MTR-120,FAC-024,FAC-024-Meter-120,Coriolis,GAS,VOLUME,Y,SimulatedPollingConnector,CYGNET_SIM,2020-10-07,Y,132.97,1386.57,60
MTR-121,FAC-025,FAC-025-Meter-121,Mag Meter,PRODUCED_WATER,VOLUME,Y,SimulatedPollingConnector,OASYS_SIM,2019-12-23,Y,49.81,888.09,60
MTR-122,FAC-025,FAC-025-Meter-122,Coriolis,PRODUCED_WATER,VOLUME,N,ProCountSim,MANUAL_UPLOAD,2025-06-22,Y,59.29,925.69,60
MTR-123,FAC-025,FAC-025-Meter-123,Mag Meter,CRUDE,OPERATIONAL,N,SimulatedPollingConnector,OASYS_SIM,2024-10-02,Y,57.08,460.94,60
MTR-124,FAC-025,FAC-025-Meter-124,Turbine,GAS,CUSTODY_TRANSFER,Y,SimulatedPollingConnector,CYGNET_SIM,2025-08-01,Y,159.45,1472.71,60
MTR-125,FAC-025,FAC-025-Meter-125,Orifice,NGL,VOLUME,N,FlowCalSim,OASYS_SIM,2020-02-26,Y,25.12,896.35,60
